Locus	fst	chromosome	position
1	3	0.0265	LG21	18027708
2	5	0.4505	LG11	27261814
3	6	0.0478	LG10	5565406
4	11	0.0735	LG10	22879220
5	16	0.058	LG21	7743712
6	19	0.005	LG21	4032093
7	20	0	LG01	8417786
8	24	0.0438	LG20	9392547
9	39	0.1467	LG09	17882115
10	53	0.1184	LG11	26240806
11	54	0.0974	LG20	10911887
12	63	0.0531	LG07	8250504
13	67	0	LG01	25118415
14	75	0	LG14	16964648
15	86	0	LG04	5514604
16	88	0.02	LG15	17142273
17	91	0	LG14	5057159
18	92	0.4143	LG10	10496043
19	93	0.4294	LG21	16435657
20	98	0.0356	LG12	20292473
21	101	0.1427	LG03	20685759
22	109	0.3275	LG05	10536052
23	111	0.0777	LG02	19524547
24	117	0.005	LG16	670282
25	121	0	LG07	14639666
26	126	0.1214	LG01	26277273
27	139	0	LG19	5505913
28	142	0.0196	LG16	348177
29	148	0.079	LG14	23216958
30	160	0.0358	LG22	2265503
31	164	0.2752	LG04	20273388
32	166	0.055	LG02	23270721
33	167	0.1043	LG12	26759763
34	169	0.005	LG03	15330761
35	174	0.0808	LG08	1312422
36	183	0.0171	LG19	12157293
37	187	0.0355	LG12	25008487
38	189	0.1447	LG03	25718099
39	192	0	LG15	8400989
40	198	0.1725	LG10	12542466
41	200	0.2106	LG08	1227839
42	206	0.378	LG03	19138705
43	212	0	LG16	17455795
44	220	0.0347	LG04	13609089
45	221	0.0781	LG04	1318919
46	227	0.1151	LG08	13650675
47	228	0.0261	LG17	14007228
48	232	0	LG20	15056758
49	236	0.3434	LG19	13680590
50	240	0.434	LG15	22676655
51	244	0.0891	LG10	5851012
52	245	0	LG22	16807954
53	246	0.0381	LG02	17086725
54	248	0	LG06	10068536
55	253	0.0151	LG01	13663746
56	256	0.316	LG08	13184454
57	263	0.0228	LG09	19977194
58	265	0	LG02	4572030
59	287	0.4843	LG18	6244277
60	297	0.1464	LG05	20858577
61	298	0	LG20	17936497
62	308	0	LG11	15470496
63	315	0.3876	LG13	21280470
64	331	0.1522	LG14	21214207
