chromosome	position	Fst/Fct	Mean_boostrap	lower_95	upper_95	pvalue
LG01	527324	0.115661354128429	0.129220521593072	0.0249622473043874	0.471125606133304	0.456768923380985
LG01	663566.969849246	0.0147578676709454	0.117336204316225	0.0199643642277468	0.504081960554706	0.230653802803701
LG01	799809.939698492	0.0154110803937336	0.101962302996166	0.0106864419378591	0.558759107545046	0.297786365322066
LG01	936052.909547739	0.021398896356236	0.102288023161546	0.0117168262348901	0.555299342129571	0.30860773406789
LG01	1072295.87939698	0.0644764632136557	0.107043871074987	0.014718094058415	0.536486242307608	0.391067877780928
LG01	1208538.84924623	0.307731362292854	0.124397873678878	0.0177617245650412	0.491974450461337	0.914842486913453
LG01	1344781.81909548	0.689659435408753	0.0895485642336494	0.011275998217962	0.770369223250946	0.999009716745833
LG01	1481024.78894472	0.8257	0.0646	6e-04	0.8892	0.99950867431861
LG01	1617267.75879397	0.764041135157889	0.0837887831376976	0.00994371896510639	0.795309570231813	0.99963474175197
LG01	1753510.72864322	0.396892754053743	0.113595746197084	0.015887650917547	0.54102271988201	0.971682393283681
LG01	1889753.69849246	0.322328499900791	0.101751817610831	0.0106745675271306	0.565347124301128	0.910992623848468
LG01	2025996.66834171	0.302141596182736	0.101607936719021	0.0106723787834574	0.559349459444887	0.890416416883171
LG01	2162239.63819095	0.296621857053469	0.107264168810927	0.0164683921475655	0.53894424452309	0.892399060029624
LG01	2298482.6080402	0.371377559161216	0.136212371361334	0.0265837312356025	0.454976172835042	0.97771647661484
LG01	2434725.57788945	0.368063182645624	0.116565496412242	0.0228924353116149	0.509452385531686	0.965502198631521
LG01	2570968.54773869	0.256691304510412	0.135525005332496	0.02442723739377	0.454092014402397	0.846674631448046
LG01	2707211.51758794	0.129590657285714	0.136379265743424	0.027163285226111	0.445389149731631	0.476470909286156
LG01	2843454.48743719	0.0540535019390966	0.13099852877261	0.0281831339363025	0.452889847421748	0.256754323269548
LG01	2979697.45728643	0.0326835750807853	0.130903886962727	0.0307060962739339	0.507290577438147	0.213098398039742
LG01	3115940.42713568	0.0283002659048961	0.138113406630243	0.0309853371666125	0.434789047379811	0.159135904555961
LG01	3252183.39698492	0.0279527931782576	0.140411966820667	0.0302043326448515	0.42496931609612	0.148100232634985
LG01	3388426.36683417	0.0430670863962252	0.142054823817668	0.0313574354954873	0.418843931748853	0.174698284230377
LG01	3524669.33668342	0.0828325272696373	0.141939544265559	0.0349830548370784	0.423294178122699	0.285344632392203
LG01	3660912.30653266	0.0996602982604929	0.133647026188576	0.0311299132332712	0.443247630480757	0.382608480007002
LG01	3797155.27638191	0.0659921241421455	0.132236945183147	0.0240493156455404	0.46002096207981	0.29216131073821
LG01	3933398.24623116	0.0379099168006635	0.122816592419601	0.0233404924960267	0.494792867855554	0.262287526376805
LG01	4069641.2160804	0.0913934407957053	0.141493151019501	0.0410601801571712	0.426033159479499	0.309967902273654
LG01	4205884.18592965	0.199731361811449	0.149508247835136	0.0430475199971444	0.37344252621705	0.7154679405961
LG01	4342127.15577889	0.23880093346513	0.155268596419325	0.0444043246357197	0.357861251456507	0.8410200362144
LG01	4478370.12562814	0.248826030166494	0.156612371208546	0.0499592178753022	0.339064204023523	0.887145266164272
LG01	4614613.09547739	0.215995901819395	0.152317437863701	0.0467098953697516	0.359376492995963	0.778142157057693
LG01	4750856.06532663	0.169281024674631	0.132968582347321	0.0342173544108501	0.435997845353219	0.627806229014607
LG01	4887099.03517588	0.134367154113888	0.134073257764037	0.0256045854113836	0.452713929480849	0.500992506126526
LG01	5023342.00502513	0.114639039080116	0.10102932179843	0.0191826108207683	0.697666152240715	0.531579016976903
LG01	5159584.97487437	0.209987235601998	0.091591217606992	0.00881620460243468	0.74281371936467	0.734886458060638
LG01	5295827.94472362	0.418764650386014	0.10159470667677	0.0106885988996134	0.55799866824412	0.974143535718439
LG01	5432070.91457286	0.622894223527178	0.0905377718756019	0.0086125531152698	0.752370685446165	0.997365990155956
LG01	5568313.88442211	0.604060303870668	0.105097899822866	0.0197233657786821	0.679795505180704	0.998614549768232
LG01	5704556.85427136	0.303588092365196	0.131058420752135	0.0227383114936332	0.468222277141339	0.918187882587801
LG01	5840799.8241206	0.214168870995812	0.130278264185551	0.0297295554256309	0.452871108446824	0.762181694517326
LG01	5977042.79396985	0.161683987093675	0.148720770280576	0.0393651865119907	0.38243732364634	0.556028204423643
LG01	6113285.7638191	0.109829880653252	0.152113030288095	0.0442614958291243	0.364624683885423	0.310208052952738
LG01	6249528.73366834	0.0794737230951685	0.153071988759855	0.0405004216528565	0.372662630431273	0.205025156834749
