Locus	chromosome	position	fst
3	LG21	18027708	0.0142
5	LG11	27261814	0.6895
6	LG10	5565406	0.042
11	LG10	22879220	0.0523
16	LG21	7743712	0.0236
19	LG21	4032093	0.0236
20	LG01	8417786	0.0206
24	LG20	9392547	0.0168
39	LG09	17882115	0.0576
53	LG11	26240806	0.0863
54	LG20	10911887	0.9409
63	LG07	8250504	0.0185
67	LG01	25118415	0.0362
75	LG14	16964648	0.0858
86	LG04	5514604	0.0133
88	LG15	17142273	0.0343
91	LG14	5057159	0.0264
92	LG10	10496043	0.6407
98	LG12	20292473	0.0101
101	LG03	20685759	0.3587
109	LG05	10536052	0.2655
111	LG02	19524547	0.0517
117	LG16	670282	0.976
126	LG01	26277273	2e-04
139	LG19	5505913	0.0361
142	LG16	348177	0.029
148	LG14	23216958	0.0265
160	LG22	2265503	0.0143
164	LG04	20273388	0.2175
166	LG02	23270721	0.0323
167	LG12	26759763	0
169	LG03	15330761	0.0143
174	LG08	1312422	0.044
183	LG19	12157293	0.1302
187	LG12	25008487	0.0167
189	LG03	25718099	0.0105
198	LG10	12542466	0.8809
200	LG08	1227839	0.1201
206	LG03	19138705	0.2576
212	LG16	17455795	0.0285
220	LG04	13609089	0.8639
221	LG04	1318919	0.0143
228	LG17	14007228	0.0237
240	LG15	22676655	0.4029
244	LG10	5851012	0.0457
246	LG02	17086725	0.0041
248	LG06	10068536	0.0157
253	LG01	13663746	0.0113
256	LG08	13184454	0.7594
263	LG09	19977194	0.208
287	LG18	6244277	0.5005
297	LG05	20858577	0.0862
298	LG20	17936497	0.0342
331	LG14	21214207	0.0052
364	LG13	13518047	0.7864
367	LG13	13517959	0.7922
368	LG02	8817267	0.0352
373	LG08	21935513	0.0029
376	LG17	491060	0.0347
377	LG17	4388510	0.2145
379	LG09	18491323	0.0167
380	LG20	8995844	0.0772
381	LG06	10890799	0.5298
388	LG14	9808221	0.0683
391	LG16	21523873	0.0952
392	LG23	8351293	0.044
404	LG13	423107	0.0463
410	LG09	13926079	0.2942
411	LG11	28215278	0.05
415	LG09	6944185	0.3711
419	LG17	10517407	0.4886
420	LG17	11891252	0.0578
422	LG19	2645644	0.0268
425	LG20	5151213	0.3674
440	LG03	27467841	0.5358
445	LG14	11240709	0.1213
463	LG21	9638567	0.0806
472	LG10	23241108	0.016
481	LG03	26628801	0.0182
490	LG14	1523992	0.8467
494	LG11	27847476	0.0233
512	LG18	9558850	0.0014
522	LG12	18820544	0.5942
525	LG22	19123984	0.1115
528	LG08	15156053	0.1215
534	LG05	20110056	0.005
535	LG21	5362930	0.0496
541	LG12	10886813	0.1353
545	LG08	10413548	0.1294
548	LG14	26573044	0.105
554	LG14	7209191	0.0219
561	LG09	10073918	0.0846
571	LG08	11071974	0.0047
589	LG05	2535105	0.0812
591	LG16	22280738	0.2606
592	LG05	7679170	0.0364
594	LG20	21987431	0.0777
597	LG15	20571696	0.0478
605	LG16	11855044	0.0802
613	LG22	6028173	0.0046
616	LG14	1538720	0.6923
618	LG14	2325174	0.2208
630	LG23	8025312	0.0212
644	LG20	4187239	0.1017
647	LG22	19872092	-0.002
660	LG12	11266320	0.0076
663	LG14	22324245	0.0089
669	LG01	12788651	0.7485
671	LG23	17377949	0.0328
673	LG21	6249646	0.1042
691	LG14	8500453	0.0379
694	LG19	13093143	0.0403
695	LG02	16820235	0.0247
700	LG21	9085847	0.0118
705	LG13	17217650	0.0558
708	LG09	1654444	0.0389
716	LG10	23520241	0.1696
719	LG11	14396040	0.1096
721	LG14	12869166	0.4536
730	LG17	10130879	0.0248
733	LG06	18660007	0.0183
734	LG13	25259416	0.0211
735	LG16	14151077	0.99
739	LG23	14881136	0.0091
746	LG21	18110489	0.026
756	LG11	3127754	0.0258
765	LG01	16350985	0.5909
766	LG02	17006437	0.0317
768	LG19	7893544	0.0561
769	LG20	8455617	0.0081
780	LG12	4213605	0.2272
786	LG20	10305701	0.0219
792	LG22	13579970	0.0776
803	LG02	6015120	0.0204
805	LG21	9856598	0.1996
813	LG06	12873880	0.1046
815	LG14	7114942	0.4985
820	LG08	6783271	0.2018
825	LG04	33313977	-0.0022
829	LG01	22477868	0.0553
860	LG15	8162379	0.0985
862	LG23	3032160	0.0454
885	LG10	5851100	0.0239
888	LG19	5854828	0.1447
899	LG23	11912788	0.1049
901	LG19	14535981	0.013
917	LG09	23966054	0.0097
925	LG07	16246230	0.5332
926	LG06	8571939	0.0435
927	LG06	6420980	0.0031
941	LG23	16779334	0.2468
943	LG08	17866162	0.0467
951	LG22	3422278	0.1433
952	LG16	15094047	0.0423
954	LG06	8064417	0.2392
960	LG12	10174457	0.0112
966	LG13	18698689	0.0183
974	LG15	18002768	5e-04
982	LG05	18446161	0.0023
986	LG09	18413149	0.0229
992	LG21	3580050	0.032
1000	LG20	21700794	0.0128
1002	LG14	22855271	0.3471
1007	LG16	14981817	0.01
1017	LG06	6804646	0.0127
1020	LG18	17770636	0.8521
1027	LG11	880476	0.0284
1031	LG15	10603181	0.1449
1037	LG01	22314645	0.0137
1047	LG09	6946806	0.2006
1048	LG13	21014787	0.2931
1052	LG03	29149123	0.0296
1053	LG13	11331788	0.0098
1054	LG06	19898749	0.7131
1066	LG15	25606927	0.0219
1073	LG10	2603183	0.0817
1078	LG14	1738653	0.0237
1082	LG02	7995350	0.0196
1085	LG03	9056737	0.0518
1089	LG08	13112738	0.011
1091	LG04	987643	0.0499
1092	LG20	20701546	0.0075
1094	LG01	8989975	0.3325
1098	LG08	13960352	0.2471
1104	LG01	12761963	0.0184
1122	LG04	16838600	0.5672
1138	LG04	14058546	0.0469
1157	LG11	26193891	0.1191
1159	LG14	22877258	0.01
1160	LG15	17477533	0.3782
1162	LG04	31408269	0.037
1167	LG11	10595723	-6e-04
1176	LG01	13275503	0.515
1190	LG01	8092422	0.7647
1193	LG03	24543439	0.0115
1197	LG20	15002118	0.1378
1205	LG18	2123484	0.0234
1206	LG02	4112829	0.0422
1228	LG13	20016866	0.0246
1229	LG20	13703518	0.0927
1253	LG22	11919118	0.011
1254	LG20	20099558	0.1202
1258	LG07	27182155	0.0465
1262	LG10	17743127	0.0055
1266	LG08	20768613	0.0858
1275	LG01	19119404	0.0103
1285	LG20	6673367	0.1772
1287	LG03	7081654	0.0062
1294	LG22	6705225	0.1053
1306	LG13	11880001	0.3443
1311	LG09	12622187	0.0075
1323	LG20	6539707	0.1913
1339	LG14	17204107	0.1024
1345	LG02	23955104	0.2041
1349	LG22	16461504	0.0377
1354	LG12	3284303	0.0302
1372	LG14	20906701	0.0422
1392	LG04	31306420	0.158
1393	LG01	9598261	0.5847
1407	LG23	12976106	0.2248
1420	LG03	1176528	0.0205
1441	LG14	10322868	0.0116
1451	LG03	20425799	5e-04
1452	LG20	5697820	0.0808
1463	LG14	16098739	0.0308
1469	LG20	12562983	0.1139
1473	LG11	27198631	0.1068
1474	LG12	7753631	0.0305
1478	LG11	20773184	0.0373
1482	LG13	10971676	0.046
1490	LG07	23424347	0.0844
1503	LG21	15279223	0.3416
1504	LG09	6084778	0.075
1519	LG11	19513503	0.0377
1547	LG11	7746059	0.0538
1560	LG15	15461179	0.3082
1567	LG15	17339469	0.1659
1571	LG13	12440085	0.884
1572	LG13	17972384	0.0092
1582	LG09	16940306	0.0505
1589	LG15	8882522	0.0235
1592	LG10	2502491	0.0301
1596	LG16	22145857	0.0375
1602	LG01	11804307	0.0372
1617	LG01	3728784	0.1466
1635	LG13	5076698	0.0841
1638	LG04	14007496	0.0817
1655	LG11	24272512	0.0502
1660	LG18	7683702	0.0238
1689	LG13	21043471	0.0071
1693	LG08	10243819	0.2145
1698	LG13	14576126	0.0072
1711	LG18	6879063	0.0143
1712	LG14	28035100	0.0219
1713	LG01	9493971	0.106
1722	LG15	7404476	0.0328
1729	LG18	16054673	0.0234
1730	LG01	20219379	0.02
1734	LG17	16433379	0.0387
1737	LG07	14640691	0.0727
1738	LG16	27755689	0.164
1739	LG22	11675953	0.0165
1756	LG11	8086242	0.0145
1770	LG19	9781979	0.0527
1773	LG01	4343021	0.3028
1794	LG09	24143400	0.4723
1817	LG17	7587295	0.0266
1833	LG01	9761602	0.0446
1844	LG15	17981722	0.1079
1845	LG03	16345097	-0.001
1855	LG02	23270633	0.0331
1858	LG02	13158554	0.0176
1859	LG04	22949532	0.0413
1872	LG10	21232603	0.1408
1873	LG12	16935478	0.9965
1881	LG12	11484342	0.9894
1889	LG22	17138763	0.0625
1906	LG02	19009588	-0.002
1907	LG10	17098895	0.2625
1911	LG21	3578040	0.3807
1926	LG20	20827715	0.0311
1933	LG21	12444588	0.7061
1936	LG14	24505155	0.0481
1939	LG23	947149	0.5842
1957	LG03	20523113	0.0749
1962	LG05	20623937	1e-04
1963	LG11	17081118	0.0576
1968	LG05	10680722	0.0442
1969	LG23	1571051	0.0094
1970	LG14	5451290	0.01
1975	LG14	5051097	0.7043
1978	LG11	18595849	0.0214
1983	LG13	11362580	0.2164
1995	LG03	20433399	0.1543
2029	LG16	1408228	0.5731
2038	LG19	9585216	0.0896
2046	LG05	11189734	0.2655
2058	LG17	5380965	0.0336
2064	LG11	7306299	0.9889
2069	LG07	17433168	0.4683
2071	LG11	19958497	0.0437
2075	LG05	21654489	0.0802
2082	LG17	8854605	0.0101
2087	LG07	28942026	0.1058
2100	LG17	4283147	0.2724
2110	LG02	15714736	0.0962
2118	LG16	25894782	0.0261
2127	LG15	18189153	0.0632
2135	LG21	10135760	0.5796
2149	LG16	13928206	0.0816
2153	LG11	20773096	0.0747
2154	LG04	24968352	0.0781
2160	LG12	18822680	0.1548
2175	LG15	5358650	0.369
2176	LG04	18406174	0.064
2196	LG02	13700077	0.8447
2204	LG14	7233760	0.0039
2206	LG22	13391318	0.1978
2225	LG11	14495794	0.0328
2227	LG02	1753025	0.6526
2230	LG09	11505320	0.0157
2234	LG08	18949206	0.086
2251	LG23	15597949	0.0464
2258	LG13	7099455	0.3202
2261	LG21	19768537	0.0819
2274	LG13	1229015	0.1723
2319	LG07	20997192	0.5
2327	LG17	1002493	0.0056
2329	LG16	24549889	0.1266
2331	LG06	15803151	0.0286
2332	LG02	11144818	0.0096
2335	LG12	6026045	0.0568
2346	LG04	26005081	0.041
2349	LG16	9310784	0.0153
2353	LG17	4205312	0.056
2362	LG01	13543511	0.1312
2368	LG08	26184505	0.3335
2370	LG05	6913864	0.2982
2371	LG03	8761931	0.0583
2382	LG23	570487	0.0444
2390	LG13	19759312	0.2425
2399	LG19	3269647	0.0118
2400	LG08	24451697	0.0075
2408	LG08	11860507	0.7749
2417	LG20	14555094	0.1832
2425	LG14	8286219	0.8005
2429	LG14	26890038	0.2177
2454	LG07	21594394	0.0635
2455	LG01	10925525	0.0463
2456	LG21	13077508	0.0982
2468	LG11	6043896	0.1544
2491	LG17	12103417	0.0203
2497	LG20	22149852	0.1004
2498	LG23	2830661	0.1141
2506	LG08	11296393	0.0294
2520	LG07	12362085	0.1047
2522	LG06	8028686	0.3487
2539	LG15	25129974	0.0047
2554	LG22	16243903	-0.0015
2558	LG10	22020828	0.0559
2564	LG23	13632032	0.1898
2587	LG14	202833	0.0589
2601	LG21	19584532	0.0873
