locus,prob,log10(PO),qval,alpha,fst,log10q,outlier
75_48,0.9654,1.4456,0.0050878,1.8622,0.088484,-2.29346996901915,True
3226_52,0.99985,3.8238,2.0001e-05,1.8313,0.081611,-4.69894829015477,True
4255_79,0.76279,0.50727,0.037406,1.4758,0.073576,-1.42705873047612,True
4556_80,0.70574,0.3799,0.047285,1.3384,0.066803,-1.32527660662769,True
4599_66,1,1000,0,2.7887,0.18027,-Inf,True
4715_87,0.9998,3.6989,3.6365e-05,2.2648,0.12185,-4.43931640809255,True
4734_49,0.99325,2.1677,0.0011354,1.6816,0.07226,-2.94485111011061,True
5707_76,0.99805,2.7091,0.00022144,1.7546,0.076861,-3.65474392722334,True
6432_60,1,1000,0,2.5096,0.14466,-Inf,True
6441_39,0.86384,0.8024,0.011329,1.3719,0.058615,-1.94580842320357,True
7509_89,0.9689,1.4935,0.0035344,1.6098,0.06883,-2.45168430147264,True
8586_81,0.99505,2.3032,0.00078441,2.0883,0.10679,-3.10545687839393,True
9452_90,0.98325,1.7686,0.0020029,1.7174,0.075438,-2.69834073344848,True
10913_90,1,1000,0,2.5969,0.15668,-Inf,True
11741_72,0.9955,2.3448,0.00050669,1.7317,0.076078,-3.29525766683164,True
11990_79,0.9996,3.3977,8.8466e-05,2.362,0.13213,-4.05322360895777,True
12233_73,0.99995,4.301,5.5558e-06,2.3557,0.13021,-5.25525339656649,True
13286_89,0.99965,3.4558,6.2503e-05,2.0418,0.099858,-4.20409913702108,True
13411_68,1,1000,0,2.3545,0.128,-Inf,True
14344_32,0.84109,0.7237,0.023232,1.2908,0.054677,-1.63391340098,True
14514_84,1,1000,0,2.4608,0.13943,-Inf,True
18633_51,0.83639,0.7086,0.029081,1.5284,0.072112,-1.53639066359653,True
20705_78,1,1000,0,2.6182,0.15801,-Inf,True
21148_90,1,1000,0,2.5356,0.14999,-Inf,True
22637_61,0.86249,0.79743,0.017064,1.4874,0.066498,-1.76791915755863,True
24940_51,1,1000,0,2.7468,0.17351,-Inf,True
