Locus	Program
5	both
54	both
92	Bayescan
117	both
126	Bayescan
198	both
220	both
256	Bayescan
348	both
364	both
367	both
373	Bayescan
381	Bayescan
419	Bayescan
490	both
514	Bayescan
534	Bayescan
616	Bayescan
617	both
669	Bayescan
700	Bayescan
735	both
765	both
769	Bayescan
815	Bayescan
927	Bayescan
964	Bayescan
1020	both
1054	Bayescan
1176	Bayescan
1190	Bayescan
1193	Bayescan
1228	Bayescan
1393	Bayescan
1571	both
1881	both
1933	Bayescan
1975	Bayescan
2029	Bayescan
2118	Bayescan
2196	both
2227	Bayescan
2319	Bayescan
2408	Bayescan
2425	Bayescan
2446	both
2735	both
2874	Bayescan
2934	Bayescan
2974	both
2990	both
2997	Bayescan
3000	Bayescan
3015	Bayescan
3076	Bayescan
3096	both
3186	Bayescan
3195	Bayescan
3341	Bayescan
3342	Bayescan
3396	Bayescan
3460	both
3523	both
3680	Bayescan
3708	both
3753	Bayescan
3776	both
3828	Bayescan
3875	both
3940	Bayescan
3972	Bayescan
4062	both
4133	Bayescan
4176	Bayescan
4188	Bayescan
4365	both
4402	both
4539	both
4575	Bayescan
4620	Bayescan
4671	Bayescan
4747	both
4834	both
4836	Bayescan
4893	Bayescan
4905	both
5002	Bayescan
5011	both
5079	Bayescan
5333	both
5336	both
5464	both
5476	Bayescan
5541	Bayescan
5562	both
5580	Bayescan
5614	Bayescan
5654	both
5679	Bayescan
5730	Bayescan
5962	Bayescan
6031	both
6085	Bayescan
6144	Bayescan
6218	Bayescan
6220	both
6368	Bayescan
6426	Bayescan
6429	both
6431	Bayescan
6467	Bayescan
6492	Bayescan
6526	both
6550	Bayescan
6565	Bayescan
6617	Bayescan
6631	both
6660	both
6690	Bayescan
6709	Bayescan
6773	Bayescan
6802	Bayescan
6962	Bayescan
7046	both
7206	Bayescan
7214	both
7313	both
7322	Bayescan
7328	both
7367	Bayescan
7390	Bayescan
7395	Bayescan
7458	Bayescan
7479	Bayescan
7545	both
7620	Bayescan
7690	both
7803	Bayescan
7823	Bayescan
7828	Bayescan
7870	Bayescan
7940	both
8033	both
8045	Bayescan
8048	Bayescan
8086	both
8095	Bayescan
8124	both
8150	Bayescan
8194	both
8217	Bayescan
8242	Bayescan
8277	both
