chromosome	position	Fst/Fct	Mean_boostrap	lower_95	upper_95	pvalue
LG01	891695	0.0131479768704829	0.0161456616271886	-0.00325506386878819	0.0687392320178276	0.436472025459405
LG01	1070336.51677852	0.0262514558823049	0.0166911738037145	-0.00282415582157954	0.0650585549457914	0.705344622129061
LG01	1248978.03355705	0.0475900259474703	0.0171474928586331	-0.00163773948460839	0.0611642628950085	0.968902407398743
LG01	1427619.55033557	0.0585209176563409	0.0168219304106206	-0.000890899480246834	0.0622598586023913	0.994425514911623
LG01	1606261.06711409	0.0406587671781065	0.017078783509247	-0.000728387969021671	0.0611310145979632	0.928730076185999
LG01	1784902.58389262	0.022826736048575	0.0172625506214654	-0.00127252398073581	0.0607914963477884	0.63608524582471
LG01	1963544.10067114	0.0197665469998658	0.0172245938711869	-0.00121905810493801	0.0607831568843071	0.562803009155282
LG01	2142185.61744966	0.0200222533985988	0.0175664378090658	1.91498854788548e-05	0.0576988404207354	0.565167618859143
LG01	2320827.13422819	0.0175038572435595	0.0179685398776193	0.0010654625405623	0.0533478026805286	0.486278120730071
LG01	2499468.65100671	0.0136421853054296	0.0176353895224328	0.000222342286998661	0.0569998630853893	0.39332431299166
LG01	2678110.16778523	0.0118110906314235	0.01782944761691	0.000685796868459343	0.0550686954198626	0.334270753884164
LG01	2856751.68456376	0.0133873582320713	0.0181165050919157	0.00198872306537408	0.0515084723711841	0.356153791522831
LG01	3035393.20134228	0.0178167730576178	0.0183080403690671	0.00252463238460753	0.0507386766266687	0.48419083836615
LG01	3214034.71812081	0.0207608394733842	0.0182708210139027	0.00276865084951721	0.0492849791399789	0.582170935301631
LG01	3392676.23489933	0.0203846075344045	0.0185825470988227	0.00355545728473197	0.0471112318141017	0.563940902380869
LG01	3571317.75167785	0.0167214113900487	0.0186736922579155	0.00391415269815556	0.0462449249801948	0.428700354210607
LG01	3749959.26845638	0.0106743812262748	0.0187021463610784	0.00416081444639766	0.0461271768503616	0.227273210745755
LG01	3928600.7852349	0.00671151736756042	0.0188173881741795	0.00525083583612745	0.0441782917355688	0.113612557590664
LG01	4107242.30201342	0.00974160549200086	0.0192021852143065	0.00663569440841982	0.0401776775017339	0.136831254021474
LG01	4285883.81879195	0.0155071953451282	0.0193215337633225	0.00671815147285154	0.0402289041165177	0.327893485616212
LG01	4464525.33557047	0.0184856024374584	0.0193543417343072	0.00670885779497899	0.0396063717479453	0.458965385017245
LG01	4643166.85234899	0.0184409584985367	0.0192310727646582	0.00637648605301718	0.0403911364393238	0.463897136613888
LG01	4821808.36912752	0.0160593678442856	0.0189531274970373	0.00552084251188936	0.0430041513256863	0.381142228056745
LG01	5000449.88590604	0.0120442414238168	0.0187419932222072	0.00446116917035894	0.0459637689463824	0.264666983600369
LG01	5179091.40268456	0.011543148290552	0.0173380728195696	0.000685092714517931	0.0588215074342265	0.350557997979182
LG01	5357732.91946309	0.0205148483690003	0.0166062090833362	-0.00126648918725663	0.0652462699042509	0.589692090298553
LG01	5536374.43624161	0.0343746921732867	0.0180451018797562	0.00254297715073473	0.051952724987404	0.89970895439327
LG01	5715015.95302013	0.0399001121397143	0.0188037058322073	0.00487252329870415	0.0448708199715684	0.979990003929006
LG01	5893657.46979866	0.0372920874746632	0.0190488025054333	0.00548622327504109	0.0424705772764417	0.972885886601994
LG01	6072298.98657718	0.0338361506307177	0.0193287041735516	0.00624379159276941	0.0403649616475231	0.951172832113771
LG01	6250940.5033557	0.0325747093978367	0.0192741358097942	0.00642579525758609	0.0402070611085307	0.937645202359613
LG01	6429582.02013423	0.0330773051939071	0.0191686267248887	0.00618498151393725	0.0413485868009485	0.938655850587614
LG01	6608223.53691275	0.0310567496922465	0.0188691658932899	0.00497627171846061	0.0441029828663642	0.887842282187466
LG01	6786865.05369127	0.0249544270615351	0.0180442624685535	0.00248215449213084	0.0516776107299277	0.707426863679698
LG01	6965506.5704698	0.0191082971577558	0.0179366640383845	0.00156814172375891	0.0536603784767294	0.534765886681614
LG01	7144148.08724832	0.0133550027008729	0.0182870761480835	0.00261219997386781	0.0499884761237703	0.342869413102298
LG01	7322789.60402685	0.0120131874706197	0.0182885466182658	0.00288939758630213	0.0496445653769118	0.301214281840844
LG01	7501431.12080537	0.0162097131643175	0.0186530687195014	0.00381951301350983	0.0468231545400019	0.412416054067982
LG01	7680072.63758389	0.0232976715275412	0.0189438317608994	0.00482639055376535	0.0435298744260155	0.669731852301397
LG01	7858714.15436242	0.0304260086389439	0.0190283426569495	0.00536790013825406	0.0427901525908071	0.882282830990502
LG01	8037355.67114094	0.0336229063352393	0.0189309737020283	0.00522211836707672	0.0434537557365593	0.933347300121305
LG01	8215997.18791946	0.0298834688479596	0.0189917581328598	0.00543647814804795	0.042902725505778	0.87160676175935
LG01	8394638.70469799	0.0225426060583296	0.0189052341311428	0.00527683207533073	0.0435582330527006	0.644782404018282
LG01	8573280.22147651	0.0198959362492909	0.018859393239263	0.00503028715988164	0.0436179983642026	0.541562244056899
LG01	8751921.73825503	0.0221741021878572	0.0189164734885601	0.00466608690222204	0.0442270377458837	0.625585498443607
LG01	8930563.25503356	0.0246005364638441	0.0186813361449677	0.00415159602051247	0.0459156012942167	0.709440516720771
LG01	9109204.77181208	0.0252351854963383	0.0187489649380404	0.00457617505048321	0.0452945070547055	0.732446115773084
