Locus	fst	chromosome	position
7241	0.2022	LG01	77324
15791	0.0079	LG01	141695
12205	0	LG01	144969
16040	0.0342	LG01	214355
5023	0.041	LG01	214443
15232	0.0491	LG01	1020445
13670	0	LG01	1022687
3096	0	LG01	1380478
16742	0.0084	LG01	1741024
23271	0.0079	LG01	2020904
5208	0.0351	LG01	2044448
13090	0.0506	LG01	2507110
14344	0.4201	LG01	2557271
3917	0	LG01	2734304
3464	0.0308	LG01	2734393
24936	0	LG01	2977826
25135	0.01	LG01	3189475
14379	0.4552	LG01	3282792
13486	0	LG01	3357702
16039	0.0794	LG01	3360383
9350	0	LG01	3570289
8336	0	LG01	3590892
1617	0.004	LG01	3728784
21801	0.0501	LG01	3842286
15543	0.145	LG01	3923225
19183	0.0046	LG01	4056640
18328	0.0193	LG01	4337363
22648	0.1883	LG01	4342933
1773	0.4677	LG01	4343021
20195	0.396	LG01	4436797
6409	0	LG01	4436885
18309	0	LG01	4438940
24083	0.0385	LG01	4439028
13162	0.377	LG01	4650983
11437	0	LG01	4662599
19437	0	LG01	4662687
16955	0	LG01	4680553
14814	0.0075	LG01	4757332
5894	0.0036	LG01	5179409
14329	0.2375	LG01	5404659
13937	0.1174	LG01	5901020
14234	0.3856	LG01	5909093
11400	0	LG01	5957030
24153	0	LG01	5987265
8445	0.3997	LG01	6120990
4739	0.0346	LG01	6163089
24874	0.1346	LG01	6163947
16209	0	LG01	6164035
24436	0.2552	LG01	6191353
15217	0.0043	LG01	6363572
19232	0.0367	LG01	6367870
13020	0.2404	LG01	6378884
20794	0	LG01	6675702
22437	0	LG01	6834192
17825	0	LG01	6887258
15240	0.4419	LG01	7286931
20343	0.0503	LG01	7310623
2151	0.1076	LG01	7446401
15269	0.0122	LG01	7489971
8242	0.3397	LG01	7621451
10366	0.1057	LG01	7718267
3843	0	LG01	7799052
24178	0	LG01	7923832
12771	0	LG01	7923920
9801	0	LG01	8078099
1190	0.0045	LG01	8092422
20559	0	LG01	8160450
13142	0.4604	LG01	8383158
20	0.0632	LG01	8417786
4132	0.3646	LG01	8475035
8218	0	LG01	8477564
23556	0	LG01	8703318
4244	0.0556	LG01	8751793
8148	0.2354	LG01	8752897
23057	0.0573	LG01	8762573
24643	0.0613	LG01	8762661
20437	0.1945	LG01	8869410
1094	0.4688	LG01	8989975
15675	0.004	LG01	8990063
25114	0.0039	LG01	9008309
5482	0	LG01	9010262
12917	0.1802	LG01	9329019
16982	0.0455	LG01	9333078
7545	0.0958	LG01	9399694
1713	0	LG01	9493971
23449	0.0228	LG01	9519370
11115	0.128	LG01	9595976
1393	0	LG01	9598261
14661	0.0635	LG01	9665708
8312	0	LG01	9665796
4494	0.1787	LG01	9685227
12793	0.3349	LG01	9691847
1833	0.0971	LG01	9761602
17660	0	LG01	9866994
9645	0	LG01	10419488
9729	0.0862	LG01	10497992
13041	0.1099	LG01	10868696
2455	0	LG01	10925525
8789	0	LG01	11152405
11140	0.014	LG01	11291570
5753	0	LG01	11309141
9596	0.3241	LG01	11383360
17561	0	LG01	11481567
23584	0	LG01	11497482
22978	0.2772	LG01	11703390
1602	0	LG01	11804307
2780	0.1214	LG01	11869646
13506	0	LG01	12222620
24673	0.1852	LG01	12331744
19031	0.0502	LG01	12492400
21720	0.0039	LG01	12649886
21844	0.265	LG01	12649886
1104	0.0552	LG01	12761963
669	0.415	LG01	12788651
1565	0.4787	LG01	12864533
9825	0.102	LG01	12866887
9456	0.0075	LG01	12895039
17342	0.0035	LG01	13165795
13276	0.0099	LG01	13203369
7855	0	LG01	13272763
1176	0	LG01	13275503
23055	0	LG01	13348517
15037	0.2272	LG01	13433828
1848	0.3766	LG01	13443093
17074	0	LG01	13460605
8920	0.0588	LG01	13525139
2362	0.215	LG01	13543511
19716	0	LG01	13543599
15548	0	LG01	13549939
7573	0	LG01	13566886
253	0.0042	LG01	13663746
11711	0	LG01	14052789
17183	0.2524	LG01	14174929
24779	0.0039	LG01	14182553
16291	0	LG01	14215233
14720	0.0197	LG01	14360204
22931	0.0044	LG01	14391336
20245	0.445	LG01	14915282
8568	0	LG01	14990824
10524	0.0768	LG01	15222575
6220	0.0122	LG01	15305774
12001	0.0798	LG01	15477998
5584	0.0595	LG01	15478086
14461	0.251	LG01	15523673
16036	0.133	LG01	15698538
5925	0	LG01	15884506
12756	0	LG01	15941922
20222	0.1844	LG01	15949701
16522	0	LG01	16029166
6077	0	LG01	16099585
15053	0	LG01	16100804
