chromosome	position	Fst.Fct	Mean_boostrap	lower_95	upper_95	pvalue	positive	negative	selection
1	LG01	11788827.5234899	0.117982174978949	0.0282914740655005	0.00423274155315843	0.0863805220616876	0.999989241714485	1	0	Yes
2	LG01	11967469.0402685	0.135604257314956	0.0278608781659435	0.00300140026039467	0.0900542923280029	0.999999193906876	1	0	Yes
3	LG01	16433506.9597315	0.120192605826226	0.0274459826246751	0.00243703794142227	0.0935762425510018	0.99996138502951	1	0	Yes
4	LG01	16612148.4765101	0.203098282906037	0.0241583254918458	-0.000134090835073545	0.118198181225956	0.999999995862528	1	0	Yes
5	LG01	16790789.9932886	0.200778192883039	0.0241702238324581	7.29331777703644e-05	0.116289344433974	0.999999995698143	1	0	Yes
6	LG02	7273187.74496644	0.131099540547009	0.023031895082457	-0.00301035946425547	0.128168282544544	0.999206409582867	1	0	Yes
7	LG02	7420417.54362416	0.160415880754456	0.0213056826321994	-0.00610957624777997	0.143030729271577	0.999832831195745	1	0	Yes
8	LG02	7567647.34228188	0.170126900383226	0.0212732946075934	-0.00610855140621401	0.141283907084574	0.999942688142748	1	0	Yes
9	LG02	7714877.1409396	0.173367252887354	0.0214870430824249	-0.00507100494556468	0.136215853726105	0.999978721578479	1	0	Yes
10	LG02	7862106.93959732	0.15618070551763	0.0235405563667939	-0.0025928895987272	0.121864607472288	0.999978184513676	1	0	Yes
11	LG03	18289065.3691275	0.104413328901815	0.0264126206506532	-0.000758394097890975	0.101822131293717	0.998311564687423	1	0	Yes
12	LG03	18472008.4161074	0.169318622139967	0.0241298018339108	-0.00137149782198135	0.117680526434693	0.999997799534821	1	0	Yes
13	LG03	18654951.4630872	0.170601047550628	0.0238717393813187	-0.00101987516872145	0.118205297432284	0.999998437007443	1	0	Yes
14	LG04	23319173.7785235	0.0966978997666165	0.0276465019355838	0.00133942812681161	0.0914773458926369	0.998429845517596	1	0	Yes
15	LG08	6393032.93288591	0.0994223652940747	0.0278856407173736	0.0045206398809462	0.0883901246764892	0.99954667006546	1	0	Yes
16	LG08	6557007.54362416	0.128942922048414	0.0288478284638627	0.00531416649337508	0.0828219317553178	0.999999741514707	1	0	Yes
17	LG08	6720982.15436242	0.119012012585421	0.0293984269581834	0.00631718496365725	0.077052253135683	0.999999595056706	1	0	Yes
18	LG08	6884956.76510067	0.0912945142954522	0.0299218240456136	0.00695902689737181	0.0732013224275755	0.999821057797329	1	0	Yes
19	LG08	15575611.1342282	0.107296212899559	0.0258614383154678	-0.00108846466248797	0.107162815280077	0.998206410194949	1	0	Yes
20	LG08	15739585.7449664	0.118441826921518	0.0248972286966566	-0.00267193618476636	0.113706044124486	0.999057804966125	1	0	Yes
