Locus	fst	chromosome	position
15791	0.0112	LG01	141695
12205	0.0152	LG01	144969
16040	0.0154	LG01	214355
5023	0.0155	LG01	214443
15232	0.003	LG01	1020445
13670	0.0044	LG01	1022687
3096	0.124	LG01	1380478
16742	-0.0114	LG01	1741024
23271	0.046	LG01	2020904
5208	0.0083	LG01	2044448
13090	0.0226	LG01	2507110
14344	0.0058	LG01	2557271
3917	0.0057	LG01	2734304
24936	0.0084	LG01	2977826
25135	0.0349	LG01	3189475
14379	0.0256	LG01	3282792
13486	0.0079	LG01	3357702
9350	0.0191	LG01	3570289
8336	0.0432	LG01	3590892
1617	-0.0011	LG01	3728784
21801	0.0085	LG01	3842286
15543	-0.0096	LG01	3923225
19183	-0.0058	LG01	4056640
18328	0.0143	LG01	4337363
22648	0.0032	LG01	4342933
1773	-0.0107	LG01	4343021
20195	0.0593	LG01	4436797
6409	0.0467	LG01	4436885
18309	0.0115	LG01	4438940
24083	0.0188	LG01	4439028
13162	0.0128	LG01	4650983
11437	0.015	LG01	4662599
19437	0.0322	LG01	4662687
16955	0.0198	LG01	4680553
14814	-0.0066	LG01	4757332
5894	-0.005	LG01	5179409
14329	0.0335	LG01	5404659
13937	0.0199	LG01	5901020
14234	0.079	LG01	5909093
11400	0.0884	LG01	5957030
24153	0.0123	LG01	5987265
8445	0.0224	LG01	6120990
4739	0.0308	LG01	6163089
24874	0.0079	LG01	6163947
16209	0.0277	LG01	6164035
24436	-0.0011	LG01	6191353
15217	0.0059	LG01	6363572
19232	-0.0015	LG01	6367870
13020	0.1473	LG01	6378884
20794	0.0207	LG01	6675702
22437	3e-04	LG01	6834192
17825	0.0381	LG01	6887258
15240	0.008	LG01	7286931
2151	-9e-04	LG01	7446401
15269	0.0118	LG01	7489971
8242	0.0205	LG01	7621451
10366	0.0164	LG01	7718267
3843	0.0389	LG01	7799052
24178	0.0267	LG01	7923832
12771	0.0241	LG01	7923920
9801	0.113	LG01	8078099
1190	0.0081	LG01	8092422
20559	0.0279	LG01	8160450
13142	0.0023	LG01	8383158
4132	0.0246	LG01	8475035
8218	3e-04	LG01	8477564
23556	0.0079	LG01	8703318
23057	0.0316	LG01	8762573
24643	0.0319	LG01	8762661
1094	0.0118	LG01	8989975
15675	0.0772	LG01	8990063
5482	-0.0087	LG01	9010262
7545	0.0173	LG01	9399694
1713	0.0077	LG01	9493971
23449	0.0588	LG01	9519370
1393	0.0192	LG01	9598261
8312	0.0203	LG01	9665796
17660	0.0639	LG01	9866994
9645	0.0254	LG01	10419488
9729	-0.0023	LG01	10497992
2455	0.0064	LG01	10925525
8789	0.0065	LG01	11152405
11140	-0.0068	LG01	11291570
5753	0.0455	LG01	11309141
9596	0.014	LG01	11383360
17561	0.0123	LG01	11481567
23584	0.0175	LG01	11497482
22978	0.0357	LG01	11703390
1602	0.0747	LG01	11804307
2780	0.2032	LG01	11869646
13506	0.0315	LG01	12222620
24673	0.0048	LG01	12331744
21720	0.0038	LG01	12649886
21844	-0.0015	LG01	12649886
1104	0.0019	LG01	12761963
9825	0.0153	LG01	12866887
