chromosome	position	Fst.Fct	Mean_boostrap	lower_95	upper_95	pvalue	positive	negative	selection
1	LG02	8313814.48322148	0.0331229399962647	0.0057765468831815	-0.00192355949697325	0.0281872659256682	0.999785718715443	1	0	Yes
2	LG02	8461252.99328859	0.039611537225874	0.00586815496487143	-0.00174273222517481	0.0276389180361518	0.999996671855688	1	0	Yes
3	LG02	8608691.5033557	0.0401038055726588	0.00591232164816126	-0.00167579935071948	0.0268751247014825	0.999998312679411	1	0	Yes
4	LG02	8756130.01342282	0.0351640053399397	0.00580661670748129	-0.00190073149188465	0.0278776217940878	0.999941092425764	1	0	Yes
5	LG03	1644844.15436242	0.0811038364289805	0.00352114484908408	-0.00658733398319629	0.0482689918988312	0.999999751636774	1	0	Yes
6	LG03	1825616.30872483	0.0939744973196911	0.00286254014415575	-0.00788182325977224	0.0534353684286945	0.999999852270747	1	0	Yes
7	LG03	2006388.46308725	0.0778801829970028	0.00353621429518075	-0.00686276049608361	0.0495894044811054	0.999999282970371	1	0	Yes
8	LG03	2187160.61744966	0.0471868844267361	0.00396560859026709	-0.00591905873681709	0.0468890579435747	0.998957241465586	1	0	Yes
9	LG04	9477754.55033557	0.0546648794778246	0.00369363320949134	-0.00639034959885801	0.0476223845761656	0.999678135607708	1	0	Yes
10	LG04	10795984.9530201	0.0588402051770117	0.00403490179344613	-0.00586698084422152	0.0449579527913214	0.999965887134022	1	0	Yes
11	LG04	11015690.0201342	0.053684139199608	0.00389965389631683	-0.00641137516302971	0.0505621989177482	0.99971192966072	1	0	Yes
12	LG04	11674805.2214765	0.0590163021828056	0.00425196717114967	-0.00543735342350835	0.0430350837280158	0.999984147129241	1	0	Yes
13	LG04	13652150.8255034	0.0337454324753699	0.00568503436258037	-0.00224704853862671	0.0290656026951102	0.999769407499759	1	0	Yes
14	LG04	13871855.8926174	0.042768267174316	0.0057378249978848	-0.00212229678754496	0.028534318249756	0.999998601364941	1	0	Yes
15	LG04	14091560.9597315	0.0375268060748067	0.00566289048515309	-0.00219466920720124	0.0306988057231636	0.999915170432147	1	0	Yes
16	LG05	23074706.4496644	0.0422069436507224	0.00486305931284873	-0.00404599589507743	0.0371972740907715	0.999692325325059	1	0	Yes
17	LG05	23225122	0.0564601594433466	0.00503658487752771	-0.00381446191578556	0.0359204002662174	0.999999728131813	1	0	Yes
18	LG06	20743835.557047	0.0708819203414666	0.00362588597834501	-0.00666745116574014	0.0489831722967704	0.999996184753478	1	0	Yes
19	LG06	20903048.8255034	0.116861676133406	0.00385694669435415	-0.00627266114623171	0.0497469233481019	0.999999999999999	1	0	Yes
20	LG06	21062262.0939597	0.152732213199459	0.0038380626596718	-0.00618050652494619	0.0472477821112297	1	1	0	Yes
21	LG06	21221475.3624161	0.145140209073687	0.00403782505653247	-0.00580367582124005	0.0451917437546436	1	1	0	Yes
22	LG06	21380688.6308725	0.0843850757171045	0.00385126057828025	-0.00628450664141457	0.0475105534203942	0.999999985486187	1	0	Yes
23	LG07	2166048.90604027	0.0564321584433928	0.00415138185234484	-0.00550132318472093	0.04396065975869	0.999952420231152	1	0	Yes
24	LG07	2361848.55704698	0.0784459192106252	0.00440300149505189	-0.00513716707071788	0.0433094646990206	0.999999998638776	1	0	Yes
25	LG07	2557648.20805369	0.0842720670168336	0.00449922727084325	-0.00493817777026444	0.0408915763696526	0.999999999990369	1	0	Yes
26	LG07	2753447.8590604	0.0731888976533314	0.00423434771412314	-0.00553877081828229	0.0444168311912184	0.999999894050417	1	0	Yes
27	LG07	2949247.51006711	0.0539391515415781	0.00356453936518534	-0.00665712737596126	0.0492333209521021	0.999511351735402	1	0	Yes
28	LG07	20179616.7986577	0.105234887800737	0.00434180819049691	-0.00514078165598636	0.0419868738254606	0.999999999999998	1	0	Yes
29	LG07	20375416.4496644	0.104454487537165	0.00456020239329802	-0.00439907046885182	0.0403432562334747	1	1	0	Yes
30	LG07	20571216.1006711	0.0639197433119806	0.00563515386192547	-0.00221251534730774	0.0309710887008752	0.999999999993398	1	0	Yes
31	LG07	20767015.7516779	0.0260946464845723	0.00612658980594455	-0.00109837618262788	0.0255874882861522	0.99836985419085	1	0	Yes
32	LG07	28011602.8389262	0.0292109198307724	0.00590530568714396	-0.00153391899566035	0.0271875293504721	0.999264154043689	1	0	Yes
33	LG07	28207402.4899329	0.0350595635579195	0.00582502245334225	-0.00173384769972918	0.0277190974301184	0.999939379521502	1	0	Yes
34	LG09	1661285.69798658	0.035569418251712	0.00530739003628201	-0.00308559013569045	0.0334888561577196	0.999352848429982	1	0	Yes
35	LG09	1812281.04697987	0.0463136211143947	0.00519880309264562	-0.00327834524471357	0.0341698961058142	0.999988764126361	1	0	Yes
36	LG09	1963276.39597315	0.0494536005046218	0.00511958133857666	-0.00340372703002567	0.034665103558893	0.999996886088829	1	0	Yes
37	LG09	2114271.74496644	0.0420695520519942	0.00526007905507536	-0.00316005158738667	0.0341932697016329	0.99992835735453	1	0	Yes
38	LG10	3062283.08724832	0.0414798780865484	0.00481694370168044	-0.00396533941778142	0.0389383188797397	0.999392034946263	1	0	Yes
39	LG10	3220949.87919463	0.0464647630718744	0.00447053502497661	-0.00453608010872227	0.0408771264687505	0.999635341807531	1	0	Yes
40	LG12	11738111.3422819	0.0299027891324171	0.00576793677121257	-0.00208133156493406	0.0290708826929668	0.99855568299314	1	0	Yes
41	LG13	11473842.0469799	0.0610084965267614	0.00430608062446015	-0.00503924919170445	0.0402457005169889	0.999994354962156	1	0	Yes
42	LG13	11629413.8255034	0.0517415205379635	0.0045194952395364	-0.00472949003966934	0.0408857641888557	0.999948860553764	1	0	Yes
43	LG13	21586007.6510067	0.043199940786371	0.00439336297693294	-0.00477826950754828	0.0399936889376569	0.998867476661682	1	0	Yes
44	LG13	21741579.4295302	0.0563614387228459	0.00318596019240158	-0.00698725100902445	0.0483762963674725	0.999514921279535	1	0	Yes
45	LG13	24541871.442953	0.0323114449631241	0.0054459072320733	-0.0026865331695372	0.0318404843390466	0.998679521135639	1	0	Yes
46	LG13	24697443.2214765	0.0374907592365718	0.00554962993454413	-0.00252294699904538	0.0300204928879994	0.999918757936376	1	0	Yes
47	LG13	24853015	0.0430035484380512	0.00554355352301953	-0.00258134418179765	0.0304549588682802	0.999994919423765	1	0	Yes
48	LG14	3164343.9261745	0.0332848141124657	0.00578474869859804	-0.00177706963425484	0.0286395307398239	0.999770759341674	1	0	Yes
49	LG14	3348636.5033557	0.0738978999475754	0.00456116191541306	-0.0047917927440611	0.0414226338379487	0.999999996808832	1	0	Yes
50	LG14	3532929.08053691	0.0674906697908218	0.00467790907733564	-0.00441572756171325	0.0394492911221319	0.999999987240471	1	0	Yes
51	LG14	3717221.65771812	0.0539847751742509	0.00519776498665935	-0.00332664879326139	0.0346045835029897	0.99999957403761	1	0	Yes
52	LG14	3901514.23489933	0.0339262469495917	0.00575791032012012	-0.00206260551060933	0.0289404339802384	0.99978619273032	1	0	Yes
53	LG14	16433409.4832215	0.0546460262766828	0.00432757889140901	-0.00497182490969386	0.042577112140282	0.999953597956075	1	0	Yes
54	LG14	16617702.0604027	0.0577247514237548	0.00513326775268494	-0.00349730699219788	0.0349067462310004	0.999999939578397	1	0	Yes
55	LG14	16801994.6375839	0.0494204156167097	0.00501761504445125	-0.00379666213084861	0.0371188846743091	0.999987800264737	1	0	Yes
