Locus	chromosome	fst	c_pos
7241	PCodG	0.1336	77324
15791	PCodG	0.754	141695
12205	PCodG	0.0815	144969
16040	PCodG	0.0143	214355
5023	PCodG	0.0179	214443
15232	PCodG	-0.0012	1020445
13670	PCodG	0.0316	1022687
3096	PCodG	0.8069	1380478
16742	PCodG	0.172	1741024
23271	PCodG	0.5455	2020904
5208	PCodG	0.0237	2044448
13090	PCodG	0.5999	2507110
14344	PCodG	0.1886	2557271
3917	PCodG	0.0171	2734304
3464	PCodG	0.0244	2734393
24936	PCodG	0.0376	2977826
25135	PCodG	0.032	3189475
14379	PCodG	0.0095	3282792
13486	PCodG	0.019	3357702
16039	PCodG	0.0332	3360383
9350	PCodG	0.1482	3570289
8336	PCodG	0.0665	3590892
1617	PCodG	0.1269	3728784
21801	PCodG	9.00E-04	3842286
15543	PCodG	0.0129	3923225
19183	PCodG	0.8554	4056640
18328	PCodG	-0.0016	4337363
22648	PCodG	0.1112	4342933
1773	PCodG	0.3105	4343021
20195	PCodG	0.5621	4436797
6409	PCodG	0.0138	4436885
18309	PCodG	0.0101	4438940
24083	PCodG	0.7977	4439028
13162	PCodG	0.2339	4650983
11437	PCodG	0.0446	4662599
19437	PCodG	0.0486	4662687
16955	PCodG	0.1373	4680553
14814	PCodG	0.2315	4757332
5894	PCodG	0.0592	5179409
14329	PCodG	0.7701	5404659
13937	PCodG	0.3689	5901020
14234	PCodG	0.2404	5909093
11400	PCodG	0.0437	5957030
24153	PCodG	0.0806	5987265
8445	PCodG	0.2609	6120990
4739	PCodG	0.1526	6163089
24874	PCodG	0.0161	6163947
16209	PCodG	0.0304	6164035
24436	PCodG	0.1475	6191353
15217	PCodG	0.0372	6363572
19232	PCodG	0.0209	6367870
13020	PCodG	0.054	6378884
20794	PCodG	0.0051	6675702
22437	PCodG	0.055	6834192
17825	PCodG	0.9678	6887258
15240	PCodG	0.2566	7286931
20343	PCodG	0.0304	7310623
2151	PCodG	0.0381	7446401
15269	PCodG	0.1226	7489971
8242	PCodG	-3.00E-04	7621451
10366	PCodG	-0.0013	7718267
3843	PCodG	0.03	7799052
24178	PCodG	0.0322	7923832
12771	PCodG	0.0108	7923920
9801	PCodG	0.0269	8078099
1190	PCodG	0.7435	8092422
20559	PCodG	0.1546	8160450
13142	PCodG	0.4829	8383158
20	PCodG	0.0252	8417786
4132	PCodG	0.0471	8475035
8218	PCodG	0.0188	8477564
23556	PCodG	0.168	8703318
4244	PCodG	0.0241	8751793
8148	PCodG	0.1175	8752897
23057	PCodG	0.9706	8762573
