Locus	LG	Position
3	LG21	18027708
5	LG11	27261814
6	LG10	5565406
11	LG10	22879220
16	LG21	7743712
19	LG21	4032093
20	LG01	8417786
24	LG20	9392547
39	LG09	17882115
53	LG11	26240806
54	LG20	10911887
63	LG07	8250504
67	LG01	25118415
75	LG14	16964648
86	LG04	5514604
88	LG15	17142273
91	LG14	5057159
92	LG10	10496043
98	LG12	20292473
101	LG03	20685759
109	LG05	10536052
111	LG02	19524547
117	LG16	670282
126	LG01	26277273
139	LG19	5505913
142	LG16	348177
148	LG14	23216958
160	LG22	2265503
164	LG04	20273388
166	LG02	23270721
167	LG12	26759763
169	LG03	15330761
174	LG08	1312422
183	LG19	12157293
187	LG12	25008487
189	LG03	25718099
198	LG10	12542466
200	LG08	1227839
206	LG03	19138705
212	LG16	17455795
220	LG04	13609089
221	LG04	1318919
228	LG17	14007228
240	LG15	22676655
244	LG10	5851012
246	LG02	17086725
248	LG06	10068536
253	LG01	13663746
256	LG08	13184454
263	LG09	19977194
287	LG18	6244277
297	LG05	20858577
298	LG20	17936497
331	LG14	21214207
364	LG13	13518047
367	LG13	13517959
368	LG02	8817267
373	LG08	21935513
376	LG17	491060
377	LG17	4388510
379	LG09	18491323
380	LG20	8995844
381	LG06	10890799
388	LG14	9808221
391	LG16	21523873
392	LG23	8351293
404	LG13	423107
410	LG09	13926079
411	LG11	28215278
415	LG09	6944185
419	LG17	10517407
420	LG17	11891252
422	LG19	2645644
425	LG20	5151213
440	LG03	27467841
445	LG14	11240709
463	LG21	9638567
472	LG10	23241108
481	LG03	26628801
490	LG14	1523992
494	LG11	27847476
512	LG18	9558850
522	LG12	18820544
525	LG22	19123984
528	LG08	15156053
534	LG05	20110056
535	LG21	5362930
541	LG12	10886813
545	LG08	10413548
548	LG14	26573044
554	LG14	7209191
561	LG09	10073918
571	LG08	11071974
589	LG05	2535105
591	LG16	22280738
592	LG05	7679170
594	LG20	21987431
597	LG15	20571696
605	LG16	11855044
613	LG22	6028173
616	LG14	1538720
618	LG14	2325174
630	LG23	8025312
644	LG20	4187239
647	LG22	19872092
660	LG12	11266320
663	LG14	22324245
669	LG01	12788651
671	LG23	17377949
673	LG21	6249646
691	LG14	8500453
694	LG19	13093143
695	LG02	16820235
700	LG21	9085847
705	LG13	17217650
708	LG09	1654444
716	LG10	23520241
719	LG11	14396040
721	LG14	12869166
730	LG17	10130879
733	LG06	18660007
734	LG13	25259416
735	LG16	14151077
739	LG23	14881136
746	LG21	18110489
756	LG11	3127754
765	LG01	16350985
766	LG02	17006437
768	LG19	7893544
769	LG20	8455617
780	LG12	4213605
786	LG20	10305701
792	LG22	13579970
803	LG02	6015120
805	LG21	9856598
813	LG06	12873880
815	LG14	7114942
820	LG08	6783271
825	LG04	33313977
