Pohang15	Geoje15	Namhae15	YellowSea16	Jukbyeon07	JinhaeBay07	JinhaeBay08	Boryeong07	Geoje14	Kodiak03	Adak06	WashCoast05	HecStrait04	SalishSea12_13	JuandeFuca12	PWSound12	UnimakPass03
10	[0.0, 0.0, 0.0, 0.03333333333333333, 0.02702702702702703, 0.02127659574468085, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023255813953488372, 0.0, 0.0, 0.0, 0.0]
1000	[0.0, 0.0, 0.0, 0.06666666666666667, 0.05405405405405406, 0.0425531914893617, 0.058823529411764705, 0.0, 0.08571428571428572, 0.11627906976744186, 0.09090909090909091, 0.15384615384615385, 0.09302325581395349, 0.045454545454545456, 0.047619047619047616, 0.10638297872340426, 0.022727272727272728]
10001	[0.11764705882352941, 0.24324324324324326, 0.21052631578947367, 0.03333333333333333, 0.0, 0.02127659574468085, 0.0196078431372549, 0.0, 0.02857142857142857, 0.06976744186046512, 0.09090909090909091, 0.23076923076923078, 0.13953488372093023, 0.09090909090909091, 0.2857142857142857, 0.06382978723404255, 0.09090909090909091]
10004	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
10012	[0.0, 0.0, 0.0, 0.0, 0.02702702702702703, 0.10638297872340426, 0.058823529411764705, 0.041666666666666664, 0.08571428571428572, 0.023255813953488372, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
10017	[0.0, 0.0, 0.0, 0.03333333333333333, 0.05405405405405406, 0.0425531914893617, 0.0196078431372549, 0.0, 0.02857142857142857, 0.023255813953488372, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1002	[0.0, 0.0, 0.0, 0.03333333333333333, 0.0, 0.0425531914893617, 0.058823529411764705, 0.0, 0.02857142857142857, 0.0, 0.0, 0.0, 0.023255813953488372, 0.0, 0.0, 0.0, 0.0]
10028	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.058823529411764705, 0.0, 0.02857142857142857, 0.023255813953488372, 0.0, 0.0, 0.046511627906976744, 0.0, 0.0, 0.0, 0.022727272727272728]
10031	[0.0, 0.0, 0.0, 0.0, 0.0, 0.06382978723404255, 0.0196078431372549, 0.0, 0.02857142857142857, 0.023255813953488372, 0.0, 0.02564102564102564, 0.046511627906976744, 0.0, 0.0, 0.0, 0.045454545454545456]
10040	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0784313725490196, 0.0, 0.02857142857142857, 0.0, 0.0, 0.0, 0.0, 0.045454545454545456, 0.0, 0.0, 0.0]
10044	[0.0, 0.0, 0.0, 0.03333333333333333, 0.02702702702702703, 0.0425531914893617, 0.0392156862745098, 0.041666666666666664, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
10055	[0.0, 0.02702702702702703, 0.0, 0.0, 0.02702702702702703, 0.0425531914893617, 0.0196078431372549, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
10061	[0.0, 0.0, 0.0, 0.03333333333333333, 0.0, 0.02127659574468085, 0.0784313725490196, 0.0, 0.05714285714285714, 0.046511627906976744, 0.06060606060606061, 0.05128205128205128, 0.06976744186046512, 0.13636363636363635, 0.19047619047619047, 0.02127659574468085, 0.09090909090909091]
10063	[0.0, 0.0, 0.0, 0.0, 0.05405405405405406, 0.0851063829787234, 0.0784313725490196, 0.0, 0.05714285714285714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
10068	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
10079	[0.0, 0.0, 0.0, 0.03333333333333333, 0.05405405405405406, 0.0851063829787234, 0.0392156862745098, 0.08333333333333333, 0.02857142857142857, 0.0, 0.030303030303030304, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
101	[0.0, 0.0, 0.0, 0.03333333333333333, 0.0, 0.02127659574468085, 0.0, 0.041666666666666664, 0.02857142857142857, 0.023255813953488372, 0.0, 0.02564102564102564, 0.0, 0.0, 0.0, 0.0, 0.022727272727272728]
10114	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.041666666666666664, 0.02857142857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
10117	[0.0, 0.0, 0.0, 0.03333333333333333, 0.0, 0.0, 0.0, 0.0, 0.02857142857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02127659574468085, 0.0]
10122	[0.0, 0.0, 0.0, 0.03333333333333333, 0.08108108108108109, 0.1702127659574468, 0.1568627450980392, 0.0, 0.05714285714285714, 0.023255813953488372, 0.0, 0.0, 0.023255813953488372, 0.0, 0.0, 0.0, 0.0]
10129	[0.0, 0.0, 0.0, 0.06666666666666667, 0.02702702702702703, 0.14893617021276595, 0.0392156862745098, 0.0, 0.02857142857142857, 0.13953488372093023, 0.12121212121212122, 0.1282051282051282, 0.13953488372093023, 0.045454545454545456, 0.047619047619047616, 0.06382978723404255, 0.09090909090909091]
10136	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0196078431372549, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06382978723404255, 0.0]
10137	[0.0, 0.0, 0.0, 0.03333333333333333, 0.02702702702702703, 0.0851063829787234, 0.0, 0.0, 0.02857142857142857, 0.046511627906976744, 0.030303030303030304, 0.23076923076923078, 0.13953488372093023, 0.045454545454545456, 0.23809523809523808, 0.10638297872340426, 0.022727272727272728]
10152	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0851063829787234, 0.058823529411764705, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
10153	[0.0, 0.0, 0.0, 0.03333333333333333, 0.05405405405405406, 0.0425531914893617, 0.0196078431372549, 0.0, 0.02857142857142857, 0.023255813953488372, 0.0, 0.02564102564102564, 0.0, 0.0, 0.0, 0.0, 0.0]
10165	[0.0, 0.0, 0.0, 0.0, 0.05405405405405406, 0.1702127659574468, 0.21568627450980393, 0.0, 0.11428571428571428, 0.023255813953488372, 0.030303030303030304, 0.10256410256410256, 0.023255813953488372, 0.0, 0.047619047619047616, 0.0, 0.022727272727272728]
10172	[0.0, 0.0, 0.0, 0.0, 0.10810810810810811, 0.0425531914893617, 0.0, 0.041666666666666664, 0.02857142857142857, 0.023255813953488372, 0.030303030303030304, 0.02564102564102564, 0.023255813953488372, 0.0, 0.0, 0.0, 0.0]
10178	[0.0, 0.0, 0.0, 0.0, 0.02702702702702703, 0.0425531914893617, 0.0392156862745098, 0.041666666666666664, 0.05714285714285714, 0.09302325581395349, 0.06060606060606061, 0.05128205128205128, 0.023255813953488372, 0.045454545454545456, 0.047619047619047616, 0.02127659574468085, 0.0]
10181	[0.0, 0.0, 0.0, 0.0, 0.02702702702702703, 0.02127659574468085, 0.0392156862745098, 0.0, 0.02857142857142857, 0.0, 0.030303030303030304, 0.0, 0.023255813953488372, 0.0, 0.0, 0.0, 0.0]
