locus	fst
Locus54	0.63576
Locus117	0.58551
Locus198	0.51332
Locus220	0.46499
Locus348	0.54075
Locus490	0.50976
Locus617	0.46313
Locus669	0.49466
Locus735	0.72643
Locus964	0.42708
Locus1190	0.46483
Locus1193	0.085762
Locus1571	0.52419
Locus1881	0.65394
Locus2196	0.53365
Locus2408	0.44269
Locus2425	0.38525
Locus2446	0.50691
Locus2735	0.56327
Locus2874	0.48201
Locus2974	0.51871
Locus2990	0.45952
Locus3015	0.38454
Locus3076	0.30994
Locus3096	0.39773
Locus3341	0.40288
Locus3396	0.35022
Locus3460	0.40634
Locus3523	0.55125
Locus3680	0.50392
Locus3708	0.58883
Locus3875	0.5876
Locus4062	0.40916
Locus4133	0.41449
Locus4188	0.40495
Locus4365	0.57059
Locus4402	0.48545
Locus4539	0.59546
Locus4620	0.47008
Locus4747	0.51215
Locus4834	0.62408
Locus4905	0.54621
Locus5333	0.46791
Locus5336	0.52558
Locus5476	0.45673
Locus5541	0.38843
Locus5654	0.48371
Locus6220	0.6423
Locus6426	0.37992
Locus6429	0.53923
Locus6526	0.52181
Locus6550	0.51968
Locus6631	0.366
Locus6660	0.49875
Locus7046	0.39693
Locus7214	0.54788
Locus7313	0.47093
Locus7545	0.41266
Locus7690	0.71697
Locus7828	0.44185
Locus8033	0.66063
Locus8048	0.33682
Locus8086	0.60968
Locus8124	0.43323
Locus8194	0.58633
Locus8217	0.35659
Locus8277	0.46254
Locus8499	0.38921
Locus8534	0.45119
Locus8569	0.56515
Locus8746	0.48355
Locus8820	0.44351
Locus8936	0.4596
Locus9158	0.40598
Locus9211	0.54
Locus9355	0.4155
Locus9434	0.53616
Locus9456	0.51476
Locus9585	0.40751
Locus9684	0.4606
Locus9714	0.53991
Locus9717	0.53921
Locus9731	0.44351
Locus9896	0.44853
Locus10022	0.47381
Locus10079	0.46129
Locus10440	0.66016
Locus10460	0.64324
Locus10785	0.59576
Locus10828	0.47854
Locus10840	0.47622
Locus11019	0.37834
Locus11190	0.69745
Locus11509	0.58547
Locus11686	0.081853
Locus11736	0.47797
Locus11759	0.64198
Locus11761	0.63542
Locus11951	0.51502
Locus12254	0.51899
Locus12320	0.51409
Locus12670	0.38472
Locus12693	0.5739
Locus13107	0.57087
Locus13152	0.50862
Locus13221	0.58737
Locus13384	0.41327
Locus13518	0.57882
Locus13556	0.31658
Locus13597	0.71591
Locus13650	0.47129
Locus13917	0.2849
Locus14011	0.34552
Locus14117	0.52174
Locus14305	0.56984
Locus14720	0.59549
Locus14810	0.33352
Locus14852	0.54588
Locus15373	0.46534
Locus15473	0.61771
Locus15573	0.4188
Locus15615	0.4889
Locus15748	0.64251
Locus15780	0.46672
Locus15791	0.49803
Locus15828	0.45517
Locus16057	0.40703
Locus16456	0.42667
Locus16517	0.48345
Locus17016	0.59518
Locus17097	0.48421
Locus17267	0.61409
Locus17625	0.45694
Locus17825	0.61926
Locus17835	0.53567
Locus17870	0.56179
Locus17898	0.35673
Locus18043	0.58324
Locus18075	0.67113
Locus18196	0.40035
Locus18476	0.57966
Locus18566	0.45208
Locus18615	0.59109
Locus18741	0.66773
Locus18938	0.46916
Locus19037	0.44891
Locus19094	0.5002
Locus19183	0.51338
Locus19360	0.60456
Locus19458	0.62023
Locus19772	0.53663
Locus20128	0.4981
Locus20154	0.51157
Locus20230	0.3099
Locus20473	0.56831
Locus20586	0.47519
Locus20672	0.35903
Locus20719	0.43408
Locus21296	0.43674
Locus21419	0.56046
Locus21748	0.35483
Locus21829	0.29649
Locus22526	0.40149
Locus22563	0.55558
Locus22800	0.55244
Locus22923	0.66656
Locus22978	0.38948
Locus23057	0.60436
Locus23203	0.40722
Locus23233	0.3302
Locus23364	0.42848
Locus23402	0.44788
Locus23449	0.44598
Locus23650	0.5763
Locus23727	0.39326
Locus23944	0.43544
Locus23992	0.33837
Locus24372	0.093142
Locus24451	0.62931
Locus24467	0.43451
Locus24643	0.58139
Locus24680	0.41773
Locus24751	0.47057
Locus24910	0.079023
Locus24985	0.50088
Locus25009	0.64154
Locus25028	0.51588
Locus25170	0.41856
Locus25225	0.5125
Locus25241	0.51264
Locus25250	0.41348
Locus25416	0.48095
