VCF_Index	Locus	Pvalue	Qvalue	sq.M.dist
335	3226_52	6.03324004412504e-08	8.80249722437843e-05	52.7973687668749
507	4599_66	8.90116453720985e-07	0.000459586941535263	45.7552941904893
630	5707_76	4.92224547220106e-05	0.0102593659199162	35.0269939147191
704	6432_60	9.45003992190398e-07	0.000459586941535263	45.5975708741277
1326	11741_72	6.52869106494924e-05	0.0119067003297012	34.2575881947036
1513	13286_89	4.72517412428909e-05	0.0102593659199162	35.138112242634
1614	14236_41	2.68684993939186e-06	0.00098002851539318	42.8337108988413
1646	14514_84	9.57489176545234e-05	0.0155219634286611	33.2105864801455
1885	16650_83	0.000134213133531477	0.0178015419838568	32.2833789427367
2308	20705_78	0.000313856609031515	0.0381597327147483	29.9330642427756
2487	22637_61	0.000121006957549916	0.0176549151065328	32.5681799443042
2758	24940_51	1.02138707466228e-05	0.00298040748386452	39.2723079756947
