Locus	fst	chromosome	c.pos
15791	0.0211	PCodG	141695
12205	-0.0064	PCodG	144969
15232	0.0028	PCodG	1020445
13670	0.0003	PCodG	1022687
3096	0.1608	PCodG	1380478
16742	-0.0029	PCodG	1741024
23271	0.0775	PCodG	2020904
5208	-0.0032	PCodG	2044448
13090	0.0428	PCodG	2507110
14344	0.0189	PCodG	2557271
3917	-0.0013	PCodG	2734304
24936	-0.0061	PCodG	2977826
25135	0.0364	PCodG	3189475
14379	0.0197	PCodG	3282792
13486	-0.0064	PCodG	3357702
9350	0.0292	PCodG	3570289
8336	0.0645	PCodG	3590892
1617	0.0209	PCodG	3728784
21801	0.0579	PCodG	3842286
15543	-0.0062	PCodG	3923225
19183	-0.0066	PCodG	4056640
18328	-0.0008	PCodG	4337363
22648	0.0162	PCodG	4342933
1773	-0.0068	PCodG	4343021
20195	0.1206	PCodG	4436797
6409	0.0003	PCodG	4436885
18309	-0.0013	PCodG	4438940
24083	0.0405	PCodG	4439028
13162	0.0728	PCodG	4650983
11437	0.0333	PCodG	4662599
19437	0.1156	PCodG	4662687
16955	0.0486	PCodG	4680553
14814	0.0065	PCodG	4757332
5894	-0.0051	PCodG	5179409
14329	-0.0009	PCodG	5404659
13937	-0.0042	PCodG	5901020
14234	0.0672	PCodG	5909093
11400	0.2509	PCodG	5957030
24153	0.0284	PCodG	5987265
8445	-0.0064	PCodG	6120990
4739	0.065	PCodG	6163089
24874	-0.0026	PCodG	6163947
16209	0.0292	PCodG	6164035
15217	-0.0058	PCodG	6363572
13020	0.303	PCodG	6378884
20794	0.0491	PCodG	6675702
22437	0.0038	PCodG	6834192
17825	-0.0029	PCodG	6887258
15240	0.0083	PCodG	7286931
15269	0.03	PCodG	7489971
8242	0.0143	PCodG	7621451
10366	0.0396	PCodG	7718267
3843	0.127	PCodG	7799052
24178	0.0204	PCodG	7923832
12771	0.0429	PCodG	7923920
9801	0.2428	PCodG	8078099
1190	-0.0073	PCodG	8092422
20559	0.0449	PCodG	8160450
13142	0.0172	PCodG	8383158
4132	0.0084	PCodG	8475035
8218	-0.0069	PCodG	8477564
23556	-0.0036	PCodG	8703318
1094	0.0406	PCodG	8989975
15675	0.2184	PCodG	8990063
5482	-0.0006	PCodG	9010262
7545	0.0477	PCodG	9399694
1713	0.0126	PCodG	9493971
23449	-0.0071	PCodG	9519370
1393	0.0338	PCodG	9598261
8312	-0.0059	PCodG	9665796
17660	0.1571	PCodG	9866994
9645	0.0644	PCodG	10419488
2455	0.0285	PCodG	10925525
8789	-0.0064	PCodG	11152405
11140	-0.0078	PCodG	11291570
5753	0.091	PCodG	11309141
9596	0.013	PCodG	11383360
17561	-0.0024	PCodG	11481567
23584	-0.0072	PCodG	11497482
22978	-0.0012	PCodG	11703390
1602	0.2106	PCodG	11804307
2780	0.3623	PCodG	11869646
13506	0.003	PCodG	12222620
24673	-0.0047	PCodG	12331744
21844	-0.0063	PCodG	12649886
21720	0.003	PCodG	12649886
9825	0.0001	PCodG	12866887
9456	0.0023	PCodG	12895039
17342	-0.0075	PCodG	13165795
13276	0.0005	PCodG	13203369
7855	-0.0061	PCodG	13272763
1176	0.0413	PCodG	13275503
23055	-0.0037	PCodG	13348517
17074	-0.0084	PCodG	13460605
19716	0.1449	PCodG	13543599
15548	0.1065	PCodG	13549939
7573	0.0481	PCodG	13566886
253	-0.0066	PCodG	13663746
11711	-0.0079	PCodG	14052789
24779	0.2337	PCodG	14182553
16291	0.0276	PCodG	14215233
14720	0.0682	PCodG	14360204
22931	-0.0011	PCodG	14391336
20245	0.0439	PCodG	14915282
8568	0.0055	PCodG	14990824
6220	0.1569	PCodG	15305774
5584	0.0042	PCodG	15478086
16036	0.002	PCodG	15698538
5925	-0.0036	PCodG	15884506
12756	-0.0077	PCodG	15941922
20222	0.0008	PCodG	15949701
16522	0.0439	PCodG	16029166
6077	0.0031	PCodG	16099585
15053	0.0401	PCodG	16100804
765	0.1346	PCodG	16350985
21518	0.3341	PCodG	16668458
2990	0.0371	PCodG	17231504
24372	-0.0023	PCodG	17254201
6225	0.0007	PCodG	17343059
23717	0.133	PCodG	17410032
16441	-0.004	PCodG	17478244
3473	0.0082	PCodG	17544233
7823	-0.0067	PCodG	17686137
15708	-0.0022	PCodG	17762848
23879	0.0135	PCodG	17874079
3794	-0.0061	PCodG	17891914
13135	0.0338	PCodG	17894333
4365	-0.0025	PCodG	18164746
22376	0.0626	PCodG	18270121
10477	0.082	PCodG	18299147
18099	0.068	PCodG	18634387
8649	0.0166	PCodG	18885301
6218	0.0264	PCodG	18938963
7173	-0.007	PCodG	18990205
4301	-0.0057	PCodG	18990497
20154	0.0609	PCodG	19065023
1275	0.1103	PCodG	19119404
12082	0.0302	PCodG	19122718
6687	0.0359	PCodG	19131955
25090	0.0619	PCodG	19484176
17462	0.0164	PCodG	19558080
