Locus	fst	chromosome	position
7241	0.1514	LG01	77324
15791	0.6224	LG01	141695
12205	0.0468	LG01	144969
16040	0.0221	LG01	214355
5023	0.0187	LG01	214443
15232	0.0025	LG01	1020445
13670	0.0217	LG01	1022687
3096	0.7752	LG01	1380478
16742	0.1034	LG01	1741024
23271	0.4105	LG01	2020904
5208	-0.0016	LG01	2044448
13090	0.4923	LG01	2507110
14344	0.2246	LG01	2557271
3917	-0.0011	LG01	2734304
3464	0.0043	LG01	2734393
24936	0.0069	LG01	2977826
25135	0.0438	LG01	3189475
14379	0.0118	LG01	3282792
13486	0.0188	LG01	3357702
16039	0.0181	LG01	3360383
9350	0.1056	LG01	3570289
8336	0.0669	LG01	3590892
1617	0.0798	LG01	3728784
21801	0.0092	LG01	3842286
15543	4e-04	LG01	3923225
19183	0.7611	LG01	4056640
18328	-0.0037	LG01	4337363
22648	0.0644	LG01	4342933
1773	0.1963	LG01	4343021
20195	0.4347	LG01	4436797
6409	0.0216	LG01	4436885
18309	0.0091	LG01	4438940
24083	0.7235	LG01	4439028
13162	0.1353	LG01	4650983
11437	0.047	LG01	4662599
19437	0.0572	LG01	4662687
16955	0.1112	LG01	4680553
14814	0.1463	LG01	4757332
5894	0.0363	LG01	5179409
14329	0.6333	LG01	5404659
13937	0.2459	LG01	5901020
14234	0.1625	LG01	5909093
11400	0.1281	LG01	5957030
24153	0.0622	LG01	5987265
8445	0.1682	LG01	6120990
4739	0.11	LG01	6163089
24874	0.0051	LG01	6163947
16209	0.0303	LG01	6164035
24436	0.0907	LG01	6191353
15217	0.0293	LG01	6363572
19232	0.0017	LG01	6367870
13020	0.0711	LG01	6378884
20794	0.0412	LG01	6675702
22437	0.0357	LG01	6834192
17825	0.9657	LG01	6887258
15240	0.1605	LG01	7286931
20343	0.0096	LG01	7310623
2151	0.0193	LG01	7446401
15269	0.0685	LG01	7489971
8242	-4e-04	LG01	7621451
10366	0.0177	LG01	7718267
3843	0.0645	LG01	7799052
24178	0.0456	LG01	7923832
12771	0.0404	LG01	7923920
9801	0.1211	LG01	8078099
1190	0.6211	LG01	8092422
20559	0.1163	LG01	8160450
13142	0.3564	LG01	8383158
20	0.0183	LG01	8417786
4132	0.0325	LG01	8475035
8218	0.0173	LG01	8477564
23556	0.0974	LG01	8703318
4244	0.0256	LG01	8751793
8148	0.105	LG01	8752897
23057	0.9441	LG01	8762573
24643	0.9411	LG01	8762661
20437	0.0705	LG01	8869410
1094	0.2431	LG01	8989975
15675	0.0921	LG01	8990063
25114	-0.0012	LG01	9008309
5482	0.0182	LG01	9010262
12917	0.0554	LG01	9329019
16982	0.0247	LG01	9333078
7545	0.8263	LG01	9399694
1713	0.0619	LG01	9493971
23449	0.8624	LG01	9519370
11115	0.0537	LG01	9595976
1393	0.4298	LG01	9598261
14661	0.0449	LG01	9665708
8312	0.0819	LG01	9665796
4494	0.0605	LG01	9685227
12793	0.2205	LG01	9691847
1833	0.0302	LG01	9761602
17660	0.0809	LG01	9866994
9645	0.0298	LG01	10419488
9729	0.0356	LG01	10497992
13041	0.0504	LG01	10868696
2455	0.0365	LG01	10925525
8789	0.109	LG01	11152405
11140	0.3388	LG01	11291570
5753	0.0484	LG01	11309141
9596	0.0148	LG01	11383360
17561	0.0857	LG01	11481567
23584	0.0668	LG01	11497482
22978	0.6673	LG01	11703390
1602	0.1008	LG01	11804307
2780	0.0918	LG01	11869646
13506	0.0196	LG01	12222620
24673	0.6349	LG01	12331744
19031	0.0222	LG01	12492400
21720	0.015	LG01	12649886
21844	0.0202	LG01	12649886
1104	0.0222	LG01	12761963
669	0.632	LG01	12788651
1565	0.3442	LG01	12864533
9825	0.4421	LG01	12866887
9456	0.8648	LG01	12895039
17342	0.4288	LG01	13165795
13276	0.1556	LG01	13203369
7855	0.2049	LG01	13272763
1176	0.4066	LG01	13275503
23055	0.3047	LG01	13348517
15037	0.0619	LG01	13433828
1848	0.1795	LG01	13443093
17074	0.0286	LG01	13460605
8920	0.0226	LG01	13525139
2362	0.0662	LG01	13543511
19716	0.0882	LG01	13543599
15548	0.0624	LG01	13549939
7573	0.1402	LG01	13566886
253	0.0018	LG01	13663746
11711	0.1671	LG01	14052789
17183	0.103	LG01	14174929
24779	0.1148	LG01	14182553
16291	0.1269	LG01	14215233
14720	0.9625	LG01	14360204
22931	0.0109	LG01	14391336
20245	0.2442	LG01	14915282
8568	0.0277	LG01	14990824
