chromosome	position	Fst.Fct	Mean_boostrap	lower_95	upper_95	pvalue
LG01	827324	0.0604774416557881	0.0843879598314072	0.0203548667402599	0.449617759521324	0.420859867707628
LG01	1006397.53691275	0.119255212772145	0.0855267938802138	0.015659942302161	0.450208252360622	0.60917067604164
LG01	1185471.0738255	0.246424531423836	0.0907745622460237	0.0183571848304097	0.402328259026847	0.922101712231881
LG01	1364544.61073826	0.384563425819574	0.0970476168148615	0.0216715184889974	0.44222343137448	0.996211879491434
LG01	1543618.14765101	0.373885257880471	0.0939538134813416	0.0231348757586627	0.412413603796932	0.995713662641746
LG01	1722691.68456376	0.258133468757074	0.0971610397492104	0.0215009955548306	0.420839005560943	0.938081435902489
LG01	1901765.22147651	0.2072002930687	0.0928546471785576	0.0213252420813057	0.392084563950786	0.860962395280559
LG01	2080838.75838926	0.213158280913371	0.097795072847221	0.0250489311489232	0.393926969177877	0.872179086774838
LG01	2259912.29530201	0.236569346865241	0.10639822853268	0.0294034186791863	0.339637830321865	0.937767584868378
LG01	2438985.83221477	0.222607116945206	0.10726358903587	0.029291394722037	0.348845526888137	0.909180710228601
LG01	2618059.36912752	0.162720638418899	0.106349170898695	0.0290633985458347	0.340347385138446	0.744929653739685
LG01	2797132.90604027	0.0940697888706524	0.110863774745953	0.0322806042360643	0.324114128736992	0.416045831335232
LG01	2976206.44295302	0.0450692202873828	0.115386477301463	0.037052999282842	0.306001852604662	0.16385831882251
LG01	3155279.97986577	0.0313082327916186	0.114174561955264	0.0373193189394235	0.303134032134617	0.123117586850301
LG01	3334353.51677852	0.0384254573431689	0.115772222567536	0.0374950206828611	0.299124438285509	0.135426433647436
LG01	3513427.05369127	0.0570118453456876	0.118429461907529	0.038278659428554	0.291508089906859	0.181756573209692
LG01	3692500.59060403	0.0918449942141151	0.117275116422443	0.0396098762820971	0.292899738821506	0.35354724617795
LG01	3871574.12751678	0.153639405683117	0.116029379318836	0.0422280243422715	0.293939118637508	0.711520203607378
LG01	4050647.66442953	0.210798173380365	0.120807815385736	0.0471860026424736	0.271069848601085	0.936231237049731
LG01	4229721.20134228	0.214903786794381	0.122638307872635	0.0482536820391586	0.259462531505277	0.950474606389868
LG01	4408794.73825503	0.193122669234962	0.123748930124353	0.0472194718385325	0.257942919923163	0.894036467866271
LG01	4587868.27516779	0.168555547087823	0.123646437453141	0.0457912923979022	0.258760969118062	0.788491589927099
LG01	4766941.81208054	0.146109787424795	0.120230305987878	0.0443663522895027	0.275872927938086	0.663392342489457
LG01	4946015.34899329	0.13764938418203	0.117213465151658	0.0409011897712173	0.288802016872357	0.62028654133451
LG01	5125088.88590604	0.192641489702719	0.105253849299531	0.0313297588717101	0.37949411998489	0.835946144095003
LG01	5304162.42281879	0.302899000393754	0.0869117860263068	0.0248871309712316	0.43391388306378	0.971440453952586
LG01	5483235.95973154	0.32387922003695	0.102685229767886	0.0305131773835656	0.404220531068795	0.990078191811845
LG01	5662309.49664429	0.214418773931889	0.115137235023917	0.0392187619274131	0.296780466970023	0.924390286455716
LG01	5841383.03355705	0.139251688952829	0.118575787802464	0.0418884299741729	0.284196563295423	0.626197275208268
