Locus	Fst
19718	0.8460
23990	0.1501
14478	0.0620
23992	0.5117
19712	0.0173
19716	0.0817
21633	0.5068
23448	0.0579
4025	0.0151
11546	0.1507
13732	0.0873
25250	0.8098
23441	0.0166
166	0.0319
13738	0.0293
11386	0.0318
18243	0.5281
17522	0.0361
5980	0.3746
16238	0.0403
5984	0.3285
10894	0.0907
22261	0.1726
7514	0.0002
19158	0.2203
19408	0.0556
25624	0.1561
348	0.9327
3991	0.2706
13597	0.9840
25060	0.0151
19371	0.2124
19372	0.0118
24840	0.0088
14296	0.0120
22999	0.2533
12701	0.1195
12705	0.4896
6156	0.0065
6157	0.3098
6158	0.1474
6797	0.1657
10965	0.0511
13600	-0.0012
13607	0.0830
4734	0.3134
2319	0.4894
4739	0.1541
8305	0.0441
23848	0.0344
23449	0.8979
5851	0.2923
298	0.0331
5853	0.0620
297	0.0891
5859	0.0269
17654	0.0386
21100	0.0318
24941	0.2174
3680	0.8559
3776	0.8585
19752	0.0760
15958	0.0162
22983	0.0626
25284	0.0456
23364	0.9100
4834	0.9752
12962	0.0221
19971	0.0020
13547	0.3253
16257	0.5440
21999	0.0094
19975	0.6594
17382	0.0305
25114	0.0135
12108	0.1092
22719	0.0564
17384	0.1152
18188	0.4644
23368	0.7984
15526	0.0627
7992	0.0102
12017	0.6417
15527	0.0561
22488	0.1815
17258	0.0205
15528	0.4252
11768	0.1670
16384	0.0323
11762	0.0729
11760	0.0703
2261	0.0755
17254	0.0199
17255	0.0862
17256	0.0391
20744	0.0992
2446	0.9080
17036	0.1029
17038	0.8275
9252	0.0726
10706	0.3223
9251	0.8269
22908	0.1125
7865	-0.0019
109	0.2640
24886	0.2535
22900	0.0143
21614	0.3654
12430	0.0240
101	0.3627
21611	0.0239
22905	0.0410
7869	0.0014
5824	0.6098
2046	0.2600
4815	0.0327
15536	0.1006
4818	0.4465
16814	0.0321
21290	0.6972
23627	0.0505
21924	0.0294
9415	0.5059
21921	0.0502
11262	0.0184
9418	0.0052
9419	0.5664
12123	0.0257
12122	0.1023
22541	0.2105
11618	0.0766
6377	0.3595
20522	0.0139
10414	0.0755
10413	0.0663
11126	0.0123
20526	0.2908
10410	0.0184
14130	0.0363
11947	0.1425
11943	0.1243
10386	0.1628
24089	0.2611
19758	0.0796
19391	0.1599
10380	0.0075
24083	0.8170
9323	0.1441
9632	0.0094
8098	0.0860
9326	0.5785
8943	0.0382
13338	0.0661
21721	0.0005
8948	0.0175
21723	0.0536
9347	-0.0003
21726	0.1450
24659	0.0881
12233	0.0610
6203	0.1643
18065	0.3246
2682	0.0515
14626	0.5051
14620	0.0353
20593	0.0172
6807	0.0098
15714	0.0095
