Locus	fst	chromosome	position
1	19718	0.846	LG04	15786063
2	23990	0.1501	LG05	9266375
3	14478	0.062	LG12	25449544
4	23992	0.5117	LG07	2322767
5	19712	0.0173	LG16	15208311
6	19716	0.0817	LG01	13543599
7	21633	0.5068	LG16	3885750
8	23448	0.0579	LG11	26240894
9	4025	0.0151	LG03	24223878
10	11546	0.1507	LG10	12653334
11	13732	0.0873	LG07	4878672
12	25250	0.8098	LG10	4629105
13	23441	0.0166	LG22	4571253
14	166	0.0319	LG02	23270721
15	13738	0.0293	LG08	20524780
16	11386	0.0318	LG15	19591012
17	18243	0.5281	LG23	3883723
18	17522	0.0361	LG20	894030
19	5980	0.3746	LG09	21886663
20	16238	0.0403	LG08	5811809
21	5984	0.3285	LG11	13375051
22	10894	0.0907	LG18	11058911
23	22261	0.1726	LG04	20221981
24	7514	2e-04	LG09	9462378
25	19158	0.2203	LG15	9445017
26	19408	0.0556	LG05	22952177
27	25624	0.1561	LG19	12075773
28	348	0.9327	LG16	19876759
29	3991	0.2706	LG03	11820911
30	13597	0.984	LG15	8387655
31	25060	0.0151	LG19	6221949
32	19371	0.2124	LG09	10689203
33	19372	0.0118	LG07	30915399
34	24840	0.0088	LG17	15615212
35	14296	0.012	LG22	20639374
36	22999	0.2533	LG16	7683559
37	12701	0.1195	LG06	653437
38	12705	0.4896	LG18	9156806
39	6156	0.0065	LG02	15037451
40	6157	0.3098	LG06	14713694
41	6158	0.1474	LG11	24273058
42	6797	0.1657	LG11	11597003
43	10965	0.0511	LG05	13105253
44	13600	-0.0012	LG16	6622274
45	13607	0.083	LG15	24471470
46	4734	0.3134	LG17	16510645
47	2319	0.4894	LG07	20997192
48	4739	0.1541	LG01	6163089
49	8305	0.0441	LG02	11675992
50	23848	0.0344	LG17	12182417
51	23449	0.8979	LG01	9519370
52	5851	0.2923	LG02	21921687
53	298	0.0331	LG20	17936497
54	5853	0.062	LG09	9910448
55	297	0.0891	LG05	20858577
56	5859	0.0269	LG23	5934977
57	17654	0.0386	LG14	14918702
58	21100	0.0318	LG20	15135577
59	24941	0.2174	LG11	20323618
60	3680	0.8559	LG17	8605809
61	3776	0.8585	LG01	24455925
62	19752	0.076	LG09	14153515
63	15958	0.0162	LG23	12977353
64	22983	0.0626	LG03	21749404
65	25284	0.0456	LG11	18813106
66	23364	0.91	LG21	1951878
67	4834	0.9752	LG11	12058857
68	12962	0.0221	LG07	20991578
69	19971	0.002	LG15	18510285
70	13547	0.3253	LG06	17746245
71	16257	0.544	LG11	15142617
72	21999	0.0094	LG16	15198199
73	19975	0.6594	LG03	29149035
74	17382	0.0305	LG21	18336350
75	25114	0.0135	LG01	9008309
76	12108	0.1092	LG13	414978
77	22719	0.0564	LG16	26563582
78	17384	0.1152	LG09	2170302
79	18188	0.4644	LG09	19813932
80	23368	0.7984	LG19	11098386
81	15526	0.0627	LG21	16277340
82	7992	0.0102	LG20	17181919
83	12017	0.6417	LG09	12286191
84	15527	0.0561	LG21	9637925
85	22488	0.1815	LG09	17756102
86	17258	0.0205	LG15	26153891
87	15528	0.4252	LG16	13025420
88	11768	0.167	LG07	21989855
89	16384	0.0323	LG15	18797867
90	11762	0.0729	LG04	4067370
91	11760	0.0703	LG07	9519203
92	2261	0.0755	LG21	19768537
93	17254	0.0199	LG21	9839979
94	17255	0.0862	LG16	14444680
95	17256	0.0391	LG12	25161246
96	20744	0.0992	LG05	23975122
97	2446	0.908	LG03	29018446
98	17036	0.1029	LG07	16603045
99	17038	0.8275	LG09	17129440
100	9252	0.0726	LG10	2489942
101	10706	0.3223	LG04	9581815
102	9251	0.8269	LG11	26642181
103	22908	0.1125	LG04	23948172
104	7865	-0.0019	LG08	11365031
105	109	0.264	LG05	10536052
106	24886	0.2535	LG16	16745561
107	22900	0.0143	LG08	8301243
108	21614	0.3654	LG06	8028774
109	12430	0.024	LG21	18156381
110	101	0.3627	LG03	20685759
111	21611	0.0239	LG06	10068624
112	22905	0.041	LG22	4615278
113	7869	0.0014	LG17	10688746
114	5824	0.6098	LG04	9835263
115	2046	0.26	LG05	11189734
116	4815	0.0327	LG03	12288968
117	15536	0.1006	LG07	5891920
118	4818	0.4465	LG05	13382747
119	16814	0.0321	LG14	2926912
120	21290	0.6972	LG05	16180064
121	23627	0.0505	LG22	11043718
122	21924	0.0294	LG22	6202798
123	9415	0.5059	LG23	3879604
124	21921	0.0502	LG06	17047252
125	11262	0.0184	LG20	3439675
126	9418	0.0052	LG22	9230332
127	9419	0.5664	LG08	24203128
128	12123	0.0257	LG06	1575634
129	12122	0.1023	LG11	27973144
130	22541	0.2105	LG05	20236929
131	11618	0.0766	LG13	13050029
132	6377	0.3595	LG11	27229186
133	20522	0.0139	LG09	2507199
134	10414	0.0755	LG16	17455883
135	10413	0.0663	LG03	19637006
136	11126	0.0123	LG08	663344
137	20526	0.2908	LG08	5973861
138	10410	0.0184	LG14	6016044
139	14130	0.0363	LG17	8854517
140	11947	0.1425	LG15	7306164
141	11943	0.1243	LG07	20442784
142	10386	0.1628	LG06	3618928
143	24089	0.2611	LG18	11306607
144	19758	0.0796	LG20	13703430
145	19391	0.1599	LG15	26295688
146	10380	0.0075	LG07	30175738
147	24083	0.817	LG01	4439028
148	9323	0.1441	LG21	22259790
149	9632	0.0094	LG02	6571036
150	8098	0.086	LG05	7346643
151	9326	0.5785	LG19	12260534
152	8943	0.0382	LG13	3879446
153	13338	0.0661	LG18	20235757
154	21721	5e-04	LG19	7685592
155	8948	0.0175	LG01	25476939
156	21723	0.0536	LG07	29130898
157	9347	-3e-04	LG22	17143940
158	21726	0.145	LG14	5603751
159	24659	0.0881	LG10	9903825
160	12233	0.061	LG15	2168412
161	6203	0.1643	LG11	6456108
162	18065	0.3246	LG23	23935
163	2682	0.0515	LG13	23528989
164	14626	0.5051	LG06	237123
165	14620	0.0353	LG14	7777852
166	20593	0.0172	LG13	16159441
